doy,level
1,3.87
2,3.88
3,3.90
4,3.91
5,3.92
6,3.93
7,3.95
8,3.96
9,3.97
10,3.99
11,4.00
12,4.01
13,4.03
14,4.04
15,4.05
16,4.07
17,4.08
18,4.09
19,4.11
20,4.12
21,4.13
22,4.14
23,4.16
24,4.17
25,4.18
26,4.20
27,4.21
28,4.22
29,4.24
30,4.25
31,4.26
32,4.28
33,4.29
34,4.30
35,4.32
36,4.33
37,4.34
38,4.35
39,4.37
40,4.38
41,4.39
42,4.41
43,4.42
44,4.43
45,4.45
46,4.46
47,4.47
48,4.49
49,4.50
50,4.51
51,4.53
52,4.54
53,4.55
54,4.56
55,4.58
56,4.59
57,4.60
58,4.62
59,4.63
60,4.64
61,4.66
62,4.67
63,4.68
64,4.70
65,4.71
66,4.72
67,4.73
68,4.75
69,4.76
70,4.77
71,4.79
72,4.80
73,4.81
74,4.83
75,4.84
76,4.85
77,4.87
78,4.88
79,4.89
80,4.91
81,4.92
82,4.93
83,4.94
84,4.96
85,4.97
86,4.98
87,5.00
88,5.01
89,5.02
90,5.04
91,0.26
92,0.28
93,0.29
94,0.30
95,0.32
96,0.33
97,0.34
98,0.36
99,0.37
100,0.38
101,0.40
102,0.41
103,0.42
104,0.44
105,0.45
106,0.46
107,0.47
108,0.49
109,0.50
110,0.51
111,0.53
112,0.54
113,0.55
114,0.57
115,0.58
116,0.59
117,0.61
118,0.62
119,0.63
120,0.64
121,0.66
122,0.67
123,0.68
124,0.70
125,0.71
126,0.72
127,0.74
128,0.75
129,0.76
130,0.77
131,0.79
132,0.80
133,0.81
134,0.83
135,0.84
136,0.85
137,0.87
138,0.88
139,0.89
140,0.91
141,0.92
142,0.93
143,0.95
144,0.96
145,0.97
146,0.98
147,1.00
148,1.01
149,1.02
150,1.04
151,1.05
152,1.06
153,1.08
154,1.09
155,1.10
156,1.12
157,1.13
158,1.14
159,1.16
160,1.17
161,1.18
162,1.19
163,1.21
164,1.22
165,1.23
166,1.25
167,1.26
168,1.27
169,1.29
170,1.30
171,1.31
172,1.33
173,1.34
174,1.35
175,1.36
176,1.38
177,1.39
178,1.40
179,1.42
180,1.43
181,1.44
182,1.46
183,1.47
184,1.48
185,1.50
186,1.51
187,1.52
188,1.54
189,1.55
190,1.56
191,1.57
192,1.59
193,1.60
194,1.61
195,1.63
196,1.64
197,1.65
198,1.67
199,1.68
200,1.69
201,1.71
202,1.72
203,1.73
204,1.75
205,1.76
206,1.77
207,1.78
208,1.80
209,1.81
210,1.82
211,1.84
212,1.85
213,1.86
214,1.88
215,1.89
216,1.90
217,1.92
218,1.93
219,1.94
220,1.95
221,1.97
222,1.98
223,1.99
224,2.01
225,2.02
226,2.03
227,2.05
228,2.06
229,2.07
230,2.09
231,2.10
232,2.11
233,2.13
234,2.14
235,2.15
236,2.16
237,2.18
238,2.19
239,2.20
240,2.22
241,2.23
242,2.24
243,2.26
244,2.27
245,2.28
246,2.30
247,2.31
248,2.32
249,2.34
250,2.35
251,2.36
252,2.37
253,2.39
254,2.40
255,2.41
256,2.43
257,2.44
258,2.45
259,2.47
260,2.48
261,2.49
262,2.51
263,2.52
264,2.53
265,2.55
266,2.56
267,2.57
268,2.58
269,2.60
270,2.61
271,2.62
272,2.64
273,2.65
274,2.66
275,2.68
276,2.69
277,2.70
278,2.72
279,2.73
280,2.74
281,2.75
282,2.77
283,2.78
284,2.79
285,2.81
286,2.82
287,2.83
288,2.85
289,2.86
290,2.87
291,2.89
292,2.90
293,2.91
294,2.93
295,2.94
296,2.95
297,2.96
298,2.98
299,2.99
300,3.00
301,3.02
302,3.03
303,3.04
304,3.06
305,3.07
306,3.08
307,3.10
308,3.11
309,3.12
310,3.14
311,3.15
312,3.16
313,3.17
314,3.19
315,3.20
316,3.21
317,3.23
318,3.24
319,3.25
320,3.27
321,3.28
322,3.29
323,3.31
324,3.32
325,3.33
326,3.34
327,3.36
328,3.37
329,3.38
330,3.40
331,3.41
332,3.42
333,3.44
334,3.45
335,3.46
336,3.48
337,3.49
338,3.50
339,3.52
340,3.53
341,3.54
342,3.55
343,3.57
344,3.58
345,3.59
346,3.61
347,3.62
348,3.63
349,3.65
350,3.66
351,3.67
352,3.69
353,3.70
354,3.71
355,3.73
356,3.74
357,3.75
358,3.76
359,3.78
360,3.79
361,3.80
362,3.82
363,3.83
364,3.84
365,3.86
