doy	temp	glorad
1	3.83	1.51
2	4.3	1.12
3	4.97	1.46
4	4.87	0.63
5	5.6	0.69
6	4.83	1.93
7	5.3	1.13
8	6.2	1.6
9	5.27	2.93
10	3.8	2.07
11	5.93	1.5
12	6.77	1.61
13	7	2.31
14	5.63	2.41
15	5.67	1.16
16	4.7	2.28
17	4.87	2.03
18	2.97	3.05
19	3.27	3.09
20	3.1	3.03
21	1.93	3.56
22	2.23	1.97
23	1.97	2.21
24	0.9	2.59
25	1.7	2.61
26	5.73	3.19
27	6.23	1.59
28	4.8	2.27
29	5	3.4
30	3.2	2.96
31	2.77	3.13
32	4.13	2.14
33	5.17	1.41
34	6.53	3.46
35	4.6	2.63
36	5.2	3.37
37	4.23	2.59
38	2.53	4.89
39	3.13	2.12
40	4.77	4.3
41	3.57	4.02
42	2.2	6.27
43	1.67	6.78
44	2.1	4.87
45	3.73	6.73
46	6.57	4.89
47	8.4	5.11
48	8.1	6.28
49	7.63	6.21
50	6.87	6.6
51	9.23	7.1
52	8.73	6.21
53	10.17	3.82
54	9.67	6.78
55	9.13	7.51
56	8.43	9.57
57	5.9	9.18
58	5.5	7.09
59	5.43	7.55
60	6.83	5.38
61	7.03	8.71
62	7.07	4.19
63	5.8	6.59
64	5.3	11.02
65	5.4	5.47
66	5.6	6.9
67	6.6	8.64
68	7.53	3.92
69	6.43	5.28
70	8.3	5
71	8.3	5.9
72	7.53	6.77
73	7.17	5.21
74	7.6	7.15
75	8.4	3.81
76	6.53	10.27
77	6.03	10.24
78	6.6	11.73
79	7.3	6.97
80	6.97	6.16
81	6.6	12.27
82	6.4	9.94
83	5.63	16.23
84	6.93	12.25
85	7.5	12.99
86	7.6	13.1
87	8.9	9.54
88	9.57	17.77
89	9.07	17.01
90	8.6	14.21
91	6.93	19.23
92	6.17	10.25
93	6.77	11.24
94	6.17	9.18
95	6.43	17.12
96	8.57	14.48
97	10.93	14.99
98	10.67	16.75
99	10.8	17.85
100	8.1	15.82
101	7.27	17.23
102	7	17.31
103	7.03	17.22
104	5.93	16.87
105	7.3	14.76
106	9.17	21.01
107	10.93	17.43
108	11.87	21.35
109	12.43	14.8
110	13.6	20.86
111	11.97	22.38
112	12.53	22.53
113	12.67	22.49
114	13.37	20.45
115	10.57	17.15
116	9.93	19.88
117	9.33	19.27
118	10.8	17.49
119	9.17	10.67
120	10.03	7.48
121	9.43	18.2
122	8.87	13.4
123	9.4	14.19
124	8.83	14.33
125	8.2	19.51
126	7.23	16.48
127	8.4	19.97
128	10.87	14.1
129	15.13	21.49
130	14.5	17.38
131	12.03	17.27
132	9.8	21.48
133	9.73	22.6
134	9.7	20.59
135	9.93	19.32
136	10.57	19.07
137	10.97	13.19
138	12.97	22.17
139	13.47	19.72
140	14.03	16.55
141	13.73	15.94
142	14.33	19.55
143	15.23	18.72
144	13.83	20.58
145	12.37	13.27
146	14.07	18.81
147	13.7	18.11
148	13.17	22.72
149	13.2	28.61
150	15.67	23.2
151	17.23	24.96
152	18.2	29.01
153	20.8	27.66
154	19.47	19.5
155	18.67	21.91
156	14.9	8.43
