doy	temp	glorad
1	3.04	2.19
2	0.7	2.72
3	1.11	0.85
4	1.82	0.46
5	2.58	1.33
6	2.38	1.95
7	2	0.8
8	3.53	0.74
9	3.52	0.68
10	3.04	2.04
11	2.04	1.57
12	2.86	1.99
13	3.91	1.65
14	3.21	2.52
15	4.26	1.46
16	3.34	2.47
17	1.42	3.19
18	0.95	3.19
19	1.69	2.32
20	1.11	2.03
21	1.83	3.9
22	1.82	2.55
23	-0.66	2.37
24	-1.32	2.39
25	-1.13	2.35
26	0.09	2.18
27	3.15	3.83
28	2.87	3.17
29	0.98	2.38
30	0.89	1.58
31	1.3	5.15
32	1.5	2.63
33	2.59	1.75
34	3.98	2.16
35	1.91	1.22
36	1.28	3.35
37	1.49	3.56
38	0.32	2.04
39	-0.06	4.93
40	2.18	4.65
41	1.21	3.21
42	0.74	3.19
43	0.22	6.16
44	0.27	5.04
45	1.36	6.03
46	2.22	7.76
47	7.1	4.7
48	6.88	5.35
49	6.78	6.8
50	5.57	5.33
51	5.92	6.11
52	7.45	6.22
53	5.91	7.85
54	5.66	6.29
55	7.15	7.68
56	8.69	8.77
57	5.19	4.2
58	5.3	6.74
59	4.17	5.91
60	4.62	5.21
61	4.2	6.46
62	7.1	7.36
63	5.35	3.31
64	3.64	9.37
65	4.09	8.96
66	5.94	4.05
67	4.2	8.34
68	4.39	8.22
69	4.22	7.25
70	5	4.81
71	7.09	9.07
72	7.03	6.35
73	5.14	5.37
74	4.77	8.92
75	5.32	8.65
76	6.31	9.01
77	5.39	9.43
78	5.36	6.02
79	6.21	11.93
80	7.43	4.93
81	5.68	12.17
82	5.42	11.1
83	5.17	14.72
84	5.06	13.77
85	6.24	12.45
86	6.31	10.41
87	8.22	10.6
88	10.17	11.23
89	9.63	14.06
90	8.11	12.93
91	6.05	13.48
92	5.97	17.6
93	8.15	13.25
94	8.66	17.48
95	6.79	11.62
96	8.44	17.51
97	10.06	17.29
98	10.03	16.41
99	9.84	18.98
100	8.46	7.79
101	8.24	16.58
102	5.69	11.89
103	7.8	15.53
104	5.81	11.45
105	5.6	18.63
106	8.36	19.37
107	10.41	18.36
108	10.91	17.18
109	11.44	19.44
110	11.29	23.39
111	11.52	23.18
112	10.58	20.43
113	11.81	20.11
114	12.95	20.7
115	13.17	19.81
116	11.16	17.97
117	10.71	21.23
118	11.92	19.43
119	12.56	13.4
120	10.27	14.98
121	11.81	16.46
122	10.2	9.54
123	8.14	14.2
124	8.82	12.88
125	7.71	13.66
126	7.44	18.91
127	8.2	20.02
128	10.66	19.87
129	15.82	22.29
130	17	22.51
131	15.72	16.49
132	10.12	11.45
133	9.05	15.45
134	9.46	14.89
135	10.18	18.94
136	10.38	15.13
137	12.58	20.1
138	13.95	22.86
139	15.68	21.94
140	15.32	17.84
141	16.15	22.85
142	13.2	16.21
143	14.05	20.4
144	16.07	20.86
145	12.22	15.9
146	13.41	16.16
147	14.64	18.55
148	14.57	20.43
149	12.96	21.57
150	14.96	26.25
151	15.63	23.28
152	17.86	24.69
153	19.65	27.68
154	21.99	29.38
155	20.86	23.89
156	21.84	23.64
157	18.57	17.99
158	17.51	25.15
159	17.82	19.59
160	18.98	26.73
161	20.46	17.73
162	20.54	23.19
163	18.78	14.35
164	18.25	19.91
165	21.3	23.75
166	21.56	18.05
167	19.66	14.99
168	22.74	27.56
169	24.81	28.74
170	24.25	20.09
171	21.84	15.98
172	20.5	20.33
173	18.84	19.13
174	19.25	23.59
175	19.64	23.33
176	22.12	22.72
177	24.05	25.09
178	20.93	26.04
179	22.37	25.21
180	22.45	19.45
181	21.31	16.87
182	18.73	16.04
183	18.51	18.2
184	18.11	22.68
185	19.11	24.92
186	19.5	16.3
187	20.68	16.67
188	16.43	16.63
189	15.77	13.63
190	15.11	10.03
191	17.11	19.02
192	19.4	20.15
193	17.91	16.6
194	19.3	23.33
195	18.35	7.76
196	19.34	18.87
197	18.09	6.04
198	18.63	19.06
199	19.1	20.25
200	19.22	18.39
201	21.07	19.76
202	19.36	18.27
203	18.83	17.84
204	20.06	25.79
205	21.99	25.13
206	23.47	23.27
207	22.83	21.1
208	21.48	19.76
209	21.79	19.16
210	22.38	12.73
211	20.02	17.87
212	18.87	17.44
213	18.67	19.79
214	19.4	21.17
215	18.91	15
216	18.2	16.63
217	18.36	15.21
218	20.35	20.55
219	20.83	19.33
220	21.41	20.6
221	22.1	19.92
222	22.89	17.86
223	21.95	20.51
224	22.25	20.31
225	22	21.6
226	20.72	18.98
227	20.8	15.66
228	20.24	16.69
229	19.74	15.2
230	20.18	14.52
231	19.25	13.85
232	19.27	14.99
233	20.28	19.67
234	21.62	16.93
235	19.8	12.7
236	19.33	19.53
237	19.14	15.76
238	18.42	14.51
239	18.57	11.83
240	18.75	13.02
241	18.78	12.9
242	19.32	12.25
243	19.76	14.45
244	17.99	13.91
245	15.41	15.7
246	15.52	12.62
247	16.75	14.53
248	16.7	13.43
249	15.45	14.29
250	15.27	15.18
251	16.06	16.03
252	16.41	11.01
253	17.89	14.61
254	16.38	8.46
255	16.75	11.46
256	16.87	12.6
257	15.78	16.63
258	18.62	12.71
259	17.75	9.73
260	15.83	9.55
261	13.04	11.99
262	11.97	12.87
263	12.35	11.73
264	13.9	13.85
265	15.23	14.33
266	16.42	10.08
267	16.53	2.51
268	16.1	6.96
269	15.2	9.51
270	13.63	3.25
271	12.59	7.34
272	13.24	7.35
273	12.64	7.98
274	12.73	10.29
275	12.18	10.63
276	13.12	6.43
277	12.79	6.03
278	11.09	5.92
279	9.24	7.67
280	9.71	9.98
281	10.85	7.14
282	10.45	9.28
283	10.05	8.74
284	10.11	6.11
285	10.37	7.86
286	11.11	7.81
287	12.07	7.2
288	11.66	4.76
289	9.86	3.25
290	10.47	4.51
291	11.13	7.58
292	10.51	4.29
293	12.58	5.64
294	11.36	5.02
295	10.27	4.19
296	11.23	6.9
297	11.05	5.37
298	10.56	7.36
299	11.65	6.09
300	11.18	2.22
301	8.74	6.96
302	7.59	6.67
303	7.36	6.81
304	8.35	5.43
305	8.5	3.5
306	10.52	3.77
307	11.16	3.91
308	9.35	3.46
309	7.98	3.84
310	7.48	4.18
311	8.02	2.5
312	7.54	4.23
313	6.29	3.57
314	4.45	4.44
315	3.65	2.95
316	4.99	2.74
317	5.32	3.54
318	6.07	4.57
319	7.7	2.19
320	6.83	2.18
321	5.86	1.73
322	7.88	1.52
323	8.92	2.41
324	7.89	1.45
325	5.8	1.7
326	4.54	3.41
327	5.9	1.58
328	5.25	2.92
329	3.48	2.08
330	3.49	2.11
331	3.69	1.13
332	5.36	3.29
333	3.29	1.45
334	1.68	2.12
335	2.57	1.08
336	2.01	2.36
337	0.32	3.68
338	1.1	1.79
339	0.16	2.2
340	1.57	1.79
341	4.33	1.85
342	4.53	1.2
343	2.86	0
344	1.15	1.98
345	0.29	0.95
346	0.68	1.26
347	2.48	1.72
348	4.17	0.86
349	5.94	1.73
350	6.2	1.25
351	7.07	1.54
352	6.14	1.73
353	4.64	2.15
354	3.01	3.39
355	3.14	2.28
356	1.47	2.81
357	4.57	1.39
358	4.82	1.33
359	1.49	1.81
360	-0.48	2.32
361	-0.2	1.57
362	0.29	1.66
363	1.7	2.13
364	4.68	1.62
365	6.3	2.15
