doy	temp	glorad
1	5.8	1.8
2	1.7	2.4
3	-0.5	1.6
4	5.6	1.4
5	4.9	1.5
6	2.4	0.9
7	5.5	1.2
8	3.5	0.8
9	1	2.7
10	1	0.7
11	5.3	2.4
12	4.4	0.8
13	5.7	1
14	1.3	3.2
15	4.7	0.8
16	6.6	0.5
17	0.8	1.2
18	-1.4	3.3
19	-1.1	2.6
20	-0.6	2.4
21	1	3.2
22	-1.2	1
23	-2.5	1.9
24	-3.8	0.8
25	-4.1	1.4
26	-1.1	1.7
27	1.4	0.9
28	-0.2	1.1
29	-1.4	3.8
30	0.2	3.1
31	0.2	0.8
32	0	2.5
33	0.2	0.5
34	0.1	4.3
35	1	1
36	3.9	2.4
37	2.7	0.9
38	4	0.9
39	5.4	1.8
40	6.1	2.4
41	4.8	2.4
42	2.9	6.8
43	2.4	4.4
44	6.7	4
45	5.7	1.3
46	5.5	6.5
47	6.6	5.5
48	6.3	2.3
49	5.9	3.8
50	5.9	3.8
51	5.3	2.9
52	6.3	1.9
53	2.5	4.4
54	3.1	6.3
55	4.1	4.6
56	3.7	5.7
57	7.7	8.3
58	6.5	9.5
59	5.2	10.2
60	1.9	8.6
61	1.8	4.6
62	6.7	9.1
63	5.9	3.3
64	3.6	3.1
65	4.5	2.5
66	7.1	1.9
67	4.5	10.2
68	4.4	6.5
69	2.4	10.7
70	0.9	12.4
71	2.5	2.9
72	4.3	4.2
73	4.5	3.5
74	3.7	2.9
75	4.5	5.9
76	5.3	7.3
77	4.5	13.2
78	3.2	15
79	7	7.4
80	9	7
81	6.1	6.5
82	6.5	11.5
83	4.9	10.5
84	4.6	11.3
85	5.8	14.4
86	7.5	6.3
87	8.9	11.7
88	8.2	16.9
89	7.5	12.9
90	3.8	16.5
91	2.3	18.2
92	5.7	17.3
93	8.5	9.2
94	8.5	14.1
95	9.4	15.2
96	10.3	15.9
97	8.5	13.1
98	4.9	17.9
99	2.3	20.9
100	0.8	6.2
101	1.9	14.5
102	1.7	18.6
103	2.1	21
104	3.8	20.1
105	3.8	21.8
106	4.3	17.6
107	7.1	21.9
108	9.6	22.1
109	11.2	21.9
110	11.1	22.5
111	11.9	22.5
112	11.3	22.9
113	12.4	23.1
114	12.1	12.6
115	13.1	14.2
116	13.2	10.4
117	10.3	10.1
118	10.4	15.1
119	13.2	22.8
120	12.4	22.2
121	8.6	7.9
122	7.7	21.2
123	3.7	18.3
124	4.5	20
125	5.5	19.7
126	5.2	20.6
127	5.2	17.6
128	5.6	14.1
129	10.7	14.6
130	8.6	7.5
131	7.4	27.5
132	8.4	25.3
133	7.8	23.9
134	8.4	21.5
135	9.4	20.5
136	12.4	26.9
137	9.9	5
138	11.9	13.7
139	13.8	22
140	14.5	20.2
141	14	5.4
142	10.3	6.5
143	12.4	25.5
144	10	9.7
145	10.9	17.3
146	10.1	15.6
147	9.8	9.5
148	8.3	21.4
149	8.5	22.6
150	11.2	6
151	12.4	26.8
152	13.3	11.5
153	15.4	24.5
154	16.2	13.4
155	13.6	26.6
156	17.9	20.3
157	17.6	18.8
158	14.1	26.3
159	13.8	10.8
160	13.3	18.8
161	13.2	20.4
162	15.3	6.8
163	15	4.6
164	16.4	22.1
165	16.2	21.4
166	15.9	11.6
167	16.2	24.8
168	16	20.5
169	18.8	20.8
170	18.9	25.4
171	16.1	11.1
172	12.7	13.7
173	13.2	29
174	14.8	21.2
175	16.7	28.1
176	20.8	22.7
177	17.2	17.8
178	14.9	29
