doy	temp	glorad
1	2.39	14.91
2	-1.66	14.82
3	-4.12	18.73
4	2.02	5.51
5	0.05	24.03
6	0.14	6.79
7	-0.71	11.5
8	0.4	8.93
9	-0.9	6.62
10	-3.63	11.49
11	0.3	20.23
12	-3.61	21.01
13	-3.48	7.97
14	-5.35	26.39
15	-6.41	28.11
16	-8.65	10.35
17	-6	15.46
18	-13.28	34.3
19	-10.53	8.73
20	-14.54	42.6
21	-20.32	29.01
22	-4.85	8.56
23	-4.43	10.99
24	-8.91	12.24
25	-5.67	6.94
26	-6.55	6.62
27	-8.45	7.79
28	-2.44	9.01
29	-1.84	6.52
30	-6.71	4.38
31	-7.12	9.87
32	-1.97	11.84
33	0.3	11.44
34	-6.55	11.4
35	-12.03	14.03
36	-0.93	16.84
37	-10.26	41.74
38	0.57	19.19
39	1.93	39.52
40	2.1	15.31
41	2.8	36.82
42	-0.02	48.39
43	-2.82	71.91
44	2.07	64.03
45	1.6	22.58
46	3.23	41.54
47	3.48	64.83
48	-0.86	61.13
49	2.96	16.53
50	4.3	28
51	-0.38	82.55
52	-4.01	39.27
53	-5.06	76.46
54	2.3	52.54
55	4.53	81.18
56	4.02	71.62
57	3.7	96.64
58	4.06	65.02
59	2.06	50.39
60	-1.4	77.54
61	0.88	96.74
62	-0.9	33.41
63	-0.8	47.49
64	-4.59	75.11
65	-7.54	40.18
66	1.39	30.52
67	2.19	41.63
68	-1.14	52.78
69	-4.16	124.32
70	-5.08	120.17
71	-5.95	134.45
72	0.23	29.54
73	2.89	38.87
74	1.43	35.53
75	0.6	40.05
76	1.9	32.53
77	1.91	46.58
78	0.43	133.14
79	2.4	87.39
80	5.57	53.07
81	3.8	161.79
82	7.35	119.67
83	5.02	161.14
84	1.9	157.89
85	1.16	109.35
86	4.12	155.7
87	6.13	144
88	9.09	130.08
89	7.5	174.74
90	2.7	172.57
91	1.28	204.93
92	2.83	199.21
93	3.98	163.89
94	6.52	172.29
95	3.1	44.15
96	6.22	186.35
97	4.44	88.21
98	0.76	50.68
99	-0.32	42.11
100	-0.27	66.47
101	-0.79	120.96
102	-1.31	188.34
103	0.21	163.2
104	1.19	171.86
105	1.62	249
106	4.21	234.52
107	6.04	255.52
108	8.32	256.23
109	8.38	206.14
110	9.8	242.52
111	8.34	232.21
112	11.82	237.36
113	11.46	257.49
114	11.19	248.78
115	12.2	196.82
116	13.7	203.8
117	13.18	239.07
118	8.5	264.73
119	7.88	255.1
120	9.15	190.58
121	6.8	105.7
122	3.55	78.89
123	2.86	194.43
124	2.7	213.81
125	5.58	216.15
126	6.06	182.63
127	4.28	169.46
128	6.5	228.83
129	9.11	174.22
130	10.53	191.16
131	9.96	167.49
132	8.08	119.37
133	6.98	183.06
134	7.58	317.44
135	9.98	253.69
136	10.63	320.07
137	11.86	314.34
138	15.72	181.68
139	14.55	110.5
140	17.43	244.05
141	19.09	262.15
142	17.12	272.21
143	11.25	82.7
144	12.12	187.66
145	10.9	150.59
146	9.24	90.99
147	8.96	127.19
148	11.71	172.62
149	9.76	297.67
150	10.53	220.41
151	12.74	338.74
152	11.29	101.85
153	14.21	271.1
154	15.7	221.44
155	16.36	314.87
156	19.57	308.16
157	22.37	324.84
158	21.4	262.82
159	20.9	322.64
160	15.93	233.9
161	15.34	328.51
162	13.13	180.62
163	11.52	135.69
164	14.1	52.65
165	15.68	168.74
166	18.98	339.96
167	19.6	307.04
168	19.2	335.78
169	17.93	265.79
170	19.98	265.07
171	21.3	246.43
172	18.48	338.34
173	16.87	308.55
174	16.23	300.59
175	16.35	328.41
176	16.89	167.6
177	15.75	71.44
178	15.12	271.11
179	14.95	334.72
180	19.58	270.2
181	21.3	315.98
182	17.3	259.04
183	12.42	160.13
184	10.6	198.47
185	10.58	152.45
186	11.63	158.37
187	13.92	252.3
188	14.26	218.72
189	14.2	123.15
190	11.8	142.17
191	15.48	291.14
192	14.88	272.11
193	12.2	199.27
194	14.63	268.63
195	16.33	285.55
196	11.76	75.39
197	12.24	139.35
198	15.9	188.51
199	16.95	255.15
200	17.97	265.76
201	19.05	318.04
202	17.87	200.3
203	18.05	135.21
204	18.98	286.07
205	21.29	293.6
206	23.62	270.29
207	22.77	283.62
208	22.43	289.28
209	23.61	279.14
210	19.98	205.5
211	13.74	230.65
212	13.47	142.24
213	14.49	297.81
214	16.75	239.82
215	14.93	290.42
216	14.14	191.76
217	16.03	194.08
218	16.22	188.01
219	18.04	198.37
220	16.63	155.04
221	15.52	177.03
222	15.42	99.3
223	17.82	135.36
224	17.47	190.41
225	16.16	206.73
226	14.59	195.11
227	14.82	212.01
228	16	122.96
229	17.5	158.04
230	17.29	113.59
231	16.38	210.99
232	15.91	191.21
233	14.65	182.33
234	15.3	204.1
235	15.11	76.02
236	16.9	215.06
237	17.88	211.48
238	19.11	224.15
239	19.13	227.08
240	20.68	224.31
241	20.48	138.79
242	16.95	155.21
243	17.91	200.38
244	20.09	162.01
245	14.87	172.5
246	13.53	177.2
247	14.24	168.56
248	15.43	178.5
249	11.58	179.02
250	12.7	115.37
251	12.21	118.9
252	15.28	50.81
253	17.52	165.25
254	15.56	111
255	15.84	176.81
256	12.89	135.6
257	10.67	182.67
258	12.79	126.9
259	10.16	74.31
260	7.57	178.29
261	7.01	126.2
262	5.25	141.61
263	6.63	76.74
264	12.87	147
265	6	47.75
266	5.59	120.09
267	8.76	89.46
268	7.04	99.96
269	8.76	87.76
270	7.03	134.2
271	12.2	24.96
272	11.19	46.81
273	9.41	32.9
274	5.99	128.72
275	6.22	38.97
276	5.12	73.07
277	2.94	100.54
278	2.93	101.66
279	2	90.95
280	2.03	83.55
281	2.68	51.43
282	5.6	23.39
283	8.02	29.73
284	9.51	54.15
285	9.85	23.96
286	7.85	100.95
287	6.85	30.89
288	6.81	13.84
289	8.3	15.32
290	7.01	15.03
291	8.98	27.5
292	10.05	34.06
293	8.4	11.93
294	6.14	16.09
295	9.17	31.84
296	9	27.01
297	9.5	33.79
298	11.09	36.47
299	4.86	14.05
300	2.6	20.42
301	-0.59	56.55
302	1.18	69.11
303	-0.65	54.38
304	1	63.87
305	-0.22	53.94
306	3.56	14.9
307	1.69	26.14
308	0.79	56.09
309	0.28	59.3
310	-0.21	50.22
311	-2.11	8.64
312	1.85	11.54
313	2.49	4.92
314	-0.43	11.17
315	-1.42	17.15
316	3.37	8.7
317	2.37	5.86
318	2.69	5.37
319	2.09	5.25
320	4.67	3.1
321	7.25	5.06
322	5.8	7.54
323	7.35	12.25
324	4.87	11.17
325	6.3	3.8
326	4.86	1.88
327	3.72	2.05
328	2.59	7.18
329	2.42	3.88
330	3.54	3.81
331	4.67	3.15
332	4.38	3.8
333	-3.62	9.04
334	-6.87	19.4
335	-6.45	6.76
336	-8.98	21.62
337	-4.55	3.24
338	1.32	16.17
339	5.91	10.53
340	5.08	5.26
341	3.28	4.43
342	1.19	3.19
343	3.89	6.34
344	-5.89	23.69
345	2.53	3.34
346	2.67	2.49
347	2.37	4.96
348	3.32	3.27
349	3.2	5.64
350	2.56	5.48
351	3.44	4.39
352	0.93	7.13
353	-2.27	6.74
354	4.06	3.53
355	5.16	1.3
356	3.8	7.8
357	0.86	4.07
358	1.25	3.78
359	1.72	4.07
360	-0.15	3.82
361	-1.39	12.61
362	-3.23	11.91
363	2.63	1.63
364	7.69	5.3
365	2.64	21.38
